nombre,empresa,email,telefono,whatsapp,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,direccion,gmaps_id,fecha,status
,Medellín music lab,,314 8833855,https://wa.me/573148833855,,,Medellin,Colombia,sello_musical,music,https://musiclab.medellinjoven.com/,google_maps,"Cra. 54 #42 - 188 Piso 10 A, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",ChIJt3KOJFspRI4RRv4rR_Gqgvc,2026-09-18,pendiente
,Codiscos,info@codiscos.com,44487011,,https://www.instagram.com/codiscos/,,Medellin,Colombia,sello_musical,music,http://www.codiscos.com/,google_maps,"Carrera 67 1sur 92, Mallorca, Guayabal, Medellín, Antioquia, Colombia",ChIJT2miudgpRI4RUsy5cWq0gpQ,2026-09-18,pendiente
,Be Fun,befunoficial@gmail.com,321 6441179,https://wa.me/573216441179,,,Medellin,Colombia,sello_musical,music,https://www.befunoficial.com/,google_maps,"Cl. 67 #52 -20 Piso 2 Torre A, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia, Colombia",ChIJdbONnbUvRI4RmCIE4YXoY6w,2026-09-18,pendiente
,Royalty Records,,,,,,Medellin,Colombia,sello_musical,music,,google_maps,"Cl. 2 #20-50, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",ChIJt7NqZPSDRo4RpfhBGaMvgaQ,2026-09-18,pendiente
,Séptimo Sello Music,,319 7834463,https://wa.me/573197834463,,,Bogota,Colombia,sello_musical,music,,google_maps,"Tv. 70c #68 - 33 SUR INT. 8 APT. 303, Bogotá, Colombia",ChIJD66BNtSfP44ReW7HXQaXBxQ,2026-09-18,pendiente
,CR Músic Entertainment,,321 8196704,https://wa.me/573218196704,https://www.instagram.com/crmusicentertainment/,,Bogota,Colombia,sello_musical,music,http://www.crmusic.net/,google_maps,"Cl. 6d #79 A - 56, Bogotá, Colombia",ChIJc-MLKOSdP44Rh1Jeps8keKw,2026-09-18,pendiente
,Urban Records Company,,311 8754884,https://wa.me/573118754884,,,Bogota,Colombia,sello_musical,music,https://www.youtube.com/user/UrbanRecordsCOL,google_maps,"Cl. 82 # 95 b 15, Engativá, Bogotá, Cundinamarca, Colombia",ChIJKyGR9HGFP44RjAkfiHHhtIo,2026-09-18,pendiente
,Cali Vynil Records,,312 8159567,https://wa.me/573128159567,,,Cali,Colombia,sello_musical,music,,google_maps,"Cl. 22a #11B - 21, Cali, Valle del Cauca, Colombia",ChIJr8hVJSanMI4R8giRjoiHACs,2026-09-18,pendiente
,Melodicos Music Studios,,304 3524494,https://wa.me/573043524494,,,Cali,Colombia,sello_musical,music,,google_maps,"Av. 4 Nte., Cali, Valle del Cauca, Colombia",ChIJ4Yzi9iKmMI4RhUFHPeHcUig,2026-09-18,pendiente
,El Ritmo Records,info@elritmorecords.com,310 4636378,https://wa.me/573104636378,https://www.instagram.com/elritmorecords/?ref=badge,,Cali,Colombia,sello_musical,music,http://www.elritmorecords.com/,google_maps,"Cra. 30a #9a-29, La Alameda, Cali, Valle del Cauca, Colombia",ChIJz66WT4CnMI4RqMOUL8Q98Yg,2026-09-18,pendiente
,Miracali Records,,300 6011705,https://wa.me/573006011705,,,Cali,Colombia,sello_musical,music,,google_maps,"Calle 8 oeste, Av. 4 Oe. #122 #, Cali, Valle del Cauca, Colombia",ChIJEZvgSQSnMI4RRIMP5XuGptA,2026-09-18,pendiente
,Mansion Music,,322 5847867,https://wa.me/573225847867,,,Cali,Colombia,sello_musical,music,,google_maps,"Cali, Valle del Cauca, Colombia",ChIJ82aEqmihMI4R-Z2km57f_vI,2026-09-18,pendiente
