nombre,empresa,email,telefono,whatsapp,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,direccion,gmaps_id,fecha,status
,Dental Digital,contactodd@clinicadentaldigital.mx,55 5525 3113,,https://www.instagram.com/dental.digital.mx/,,Ciudad de Mexico,Mexico,odontologos,empresas,https://www.clinicadentaldigital.mx/,google_maps,"Londres 45, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, México",ChIJm-VEidj_0YURYOX2eFnZV4w,2026-09-18,pendiente
,OR Clínica Dental,info@ordental.com.mx,55 5553 8279,,,,Ciudad de Mexico,Mexico,odontologos,empresas,http://www.ordental.com.mx/,google_maps,"Av. Mazatlan 131, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, México",ChIJGxh_SkP_0YURpt1ZBE23ia8,2026-09-18,pendiente
,Alora Dental,smile@aloradental.ca,(416) 783-0303,,https://instagram.com/aloradental/,,Toronto,Canada,odontologos,empresas,https://www.aloradental.ca/,google_maps,"1912 Avenue Rd Unit 101, Toronto, ON M5M 4A1, Canadá",ChIJWw3W2kUzK4gRpEUSebi7l8w,2026-09-18,pendiente
,Downtown Dental Clinic,smile@downtowndentalclinic.com,(416) 513-9494,,https://www.instagram.com/smileonyonge/,,Toronto,Canada,odontologos,empresas,http://www.downtowndentalclinic.com/,google_maps,"819 Yonge St, Toronto, ON M4W 2G9, Canadá",ChIJOwJxuK40K4gRHrVk0Nqh_1c,2026-09-18,pendiente
,St George Dental,info@sgdental.ca,(416) 551-6565,,,,Toronto,Canada,odontologos,empresas,https://www.stgeorgedental.ca/,google_maps,"183 College St, Toronto, ON M5T 1P7, Canadá",ChIJzbAKnsc0K4gR1v_JHyy801c,2026-09-18,pendiente
,Paste Dental,hello@pastedental.ca,(416) 639-8889,,https://www.instagram.com/paste.dental/?hl=en,,Toronto,Canada,odontologos,empresas,https://paste.dental/,google_maps,"373 King St W #2, Toronto, ON M5V 1K1, Canadá",ChIJYWy_f9o1K4gRtxqh0K1vdNU,2026-09-18,pendiente
,Maxilla Dental Clinic - Bloor,info@maxilladental.com,(647) 562-0405,,https://www.instagram.com/maxilladental.ir,,Toronto,Canada,odontologos,empresas,https://maxilladental.com/,google_maps,"421 Bloor St E #205, Toronto, ON M4W 3T1, Canadá",ChIJJzOOJIPL1IkRpS7GNokFXQQ,2026-09-18,pendiente
,Midtown Dental,info@midtowndental.ca,(416) 966-3368,,https://www.instagram.com/midtowndentalto/,,Toronto,Canada,odontologos,empresas,https://www.midtowndental.ca/,google_maps,"20 Bloor St E Unit R4, Toronto, ON M4W 3G7, Canadá",ChIJ64KdcK40K4gRxXMYfG2HKZM,2026-09-18,pendiente
,City Dental on Bay,bay@citydentaltoronto.com,(647) 957-2500,,https://www.instagram.com/citydentaltoronto/,,Toronto,Canada,odontologos,empresas,http://citydentaltoronto.com/,google_maps,"1006 Bay St., Toronto, ON M5S 0C4, Canadá",ChIJw2EqF7E0K4gRELDwZG7ZW5k,2026-09-18,pendiente
,College Street Dental,info@collegestreetdental.ca,(416) 519-5550,,,,Toronto,Canada,odontologos,empresas,http://www.collegestreetdental.ca/,google_maps,"261 College St, Toronto, ON M5T 1R5, Canadá",ChIJw5gPA8E0K4gRLe4CyIfJmWs,2026-09-18,pendiente
