nombre,empresa,email,telefono,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,fecha,status
,,gerencia@odontoss.com,312 2284241,https://www.instagram.com/naturistaelpanoramadelasalud/?r=nametag,,Medellin,Colombia,odontologos,empresas,https://www.odontoss.com/,web_scraping,2026-04-26,pendiente
,Odontología Avanzada Medellín,contacto@odontologiamedellin.com,+57 300 700 8281,,,Medellin,Colombia,odontologos,empresas,https://odontologiamedellin.com/,web_scraping,2026-04-26,pendiente
,Odontología de Paola Alvarez,,300 5551614,,,Medellin,Colombia,odontologos,empresas,https://sites.google.com/view/odontologiapaolaalvarez/inicio,google_maps,,
,Smile Natural Studio | Clínica & Spa Odontológico,,300 6370177,,,Medellin,Colombia,odontologos,empresas,https://smilenaturalstudio.com/,google_maps,,
,ORAL CONCEPT INVISALIGN,,313 7662008,,,Medellin,Colombia,odontologos,empresas,https://oralconcept.co/home/oral-concept,google_maps,,
,Dr. Mauricio Arias - Odontólogo Experto en Medellín English Dentist,,304 6705124,,,Medellin,Colombia,odontologos,empresas,https://mauricioariasexperience.com/,google_maps,,
,Odontología 30a,,315 4148548,,,Medellin,Colombia,odontologos,empresas,,google_maps,,
,Odontologos en Medellin,,305 2581651,,,Medellin,Colombia,odontologos,empresas,https://odontologoenmedellin.com/,google_maps,,
,DentiOral - Sede Belén,,(604) 4448911,,,Medellin,Colombia,odontologos,empresas,https://www.dentioral.com/,google_maps,,
,Sanadent Odontólogos - La Mejor Clínica Dental en Medellín,,(604) 4486126,,,Medellin,Colombia,odontologos,empresas,http://www.sanadentodontologos.com.co/,google_maps,,
,Odontólogos y Especialistas,,44112100,,,Medellin,Colombia,odontologos,empresas,,google_maps,,
,Odontología la 78 Urgencia las 24 horas,,312 2478447,,,Medellin,Colombia,odontologos,empresas,https://consultorioodontologicola78.com/,google_maps,,
,Odontoespecialistas,,313 7591236,,,Medellin,Colombia,odontologos,empresas,http://www.odontoespecialistas.com/,google_maps,,
,Clínica Dental Home,,310 4194654,,,Medellin,Colombia,odontologos,empresas,https://clinicadentalhome.com/?utm_source=google&utm_medium=organic&utm_campaign=google-business&utm_id=google-business&utm_term=google-business-unicentro,google_maps,,
,ORAL MAS ESPECIALISTAS,,312 2563272,,,Medellin,Colombia,odontologos,empresas,https://oralmas.com/,google_maps,,
,Infinity Smile,,323 4650026,,,Medellin,Colombia,odontologos,empresas,https://infinitysmile.com.co/,google_maps,,
,Trébol Odontología Especializada Medellín,,318 8297858,,,Medellin,Colombia,odontologos,empresas,https://trebolodontologia.com/,google_maps,,
,Sánchez Rendón (S&R) odontólogos especialistas,,319 6184755,,,Medellin,Colombia,odontologos,empresas,,google_maps,,
,Royal Dental Care,,320 8201361,,,Medellin,Colombia,odontologos,empresas,http://royaldentalcare.co/,google_maps,,
,Dental Expertos,,300 8938020,,,Medellin,Colombia,odontologos,empresas,https://www.instagram.com/dentalexpertos,google_maps,,
,Orthodontics Medellín,,314 2145728,,,Medellin,Colombia,odontologos,empresas,,google_maps,,
,Oral Studio,,312 7093687,,,Medellin,Colombia,odontologos,empresas,https://www.oralstudio.com.co/,google_maps,,
