nombre,empresa,email,telefono,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,fecha,status
,"AR Autos - Importador, Compra y Venta de Autos Alta Gama, Luxury y Deportivos",mercadeo@arautossas.com,316 7039440,,,Medellin,Colombia,autos_alta_gama,empresas,http://www.arautossas.com/,google_maps,2026-04-29,pendiente
,Poblautos,,300 4086481,,,Medellin,Colombia,autos_alta_gama,empresas,https://poblautosblindaje.com/,google_maps,2026-04-29,pendiente
,Automax - La Aguacatala,,(604) 4441160,https://www.instagram.com/Usadosautomax/,,Medellin,Colombia,autos_alta_gama,empresas,http://www.automax.com.co/,google_maps,2026-04-29,pendiente
,Centro Comercial Automotriz,,(604) 4446358,https://www.instagram.com/movicentro/,,Medellin,Colombia,autos_alta_gama,empresas,https://movicentro.co/portal/,google_maps,2026-04-29,pendiente
,Carros usados Autosport Medellin,autosportmedellin@outlook.com,318 4844494,https://www.instagram.com/autosport_medellin,,Medellin,Colombia,autos_alta_gama,empresas,http://www.autosportmedellin.com.co/,google_maps,2026-04-29,pendiente
,Movicentro,,(604) 4446358,https://www.instagram.com/movicentro/,,Medellin,Colombia,autos_alta_gama,empresas,http://www.movicentro.co/,google_maps,2026-04-29,pendiente
,Autoland Usados Principal,,333 0333745,https://www.instagram.com/autolandcolombia/,,Medellin,Colombia,autos_alta_gama,empresas,https://www.autoland.com.co/usados/,google_maps,2026-04-29,pendiente
,Fz Autos,,305 3093777,,,Medellin,Colombia,autos_alta_gama,empresas,https://fzautos.co/,google_maps,2026-04-29,pendiente
,Los Carros,,44480668,,,Medellin,Colombia,autos_alta_gama,empresas,,google_maps,2026-04-29,pendiente
,Makinon Vip Cars,,312 6531056,,,Medellin,Colombia,autos_alta_gama,empresas,https://www.instagram.com/makinon_vipcars/?hl=es,google_maps,2026-04-29,pendiente
,Somos Mayor,comunicaciones@somosmayor.com,(604) 4446678,https://www.instagram.com/somosmayor/?hl=es,,Medellin,Colombia,autos_alta_gama,empresas,https://www.somosmayor.com/,google_maps,2026-04-29,pendiente
,Autoline Medellin,,314 6938341,,,Medellin,Colombia,autos_alta_gama,empresas,https://wa.me/message/TK75RMYUVDUJB1,google_maps,2026-04-29,pendiente
,Volkswagen Medellín | Massy Motors,melisa.palacios@massygroup.com,(604) 3547801,https://www.instagram.com/germaniamotors/,,Medellin,Colombia,autos_alta_gama,empresas,https://www.vw-germania.co/,google_maps,2026-04-29,pendiente
,Gamma Car - Renta de Vehículos en Medellín,info@gammacarmedellin.com,322 6973081,https://www.instagram.com/gammacarmedellin/,,Medellin,Colombia,autos_alta_gama,empresas,https://gammacarmedellin.com/,google_maps,2026-04-29,pendiente
,A&P Autos y Propiedades,,311 3527590,,,Medellin,Colombia,autos_alta_gama,empresas,https://tarjetainfo.com/autos-y-propiedades,google_maps,2026-04-29,pendiente
,Rent a car Medellin - Alquiler de Carros en Medellin,info@rentacarmedellin.co,304 5459999,https://www.instagram.com/rentacarmedellin/,,Medellin,Colombia,autos_alta_gama,empresas,https://rentacarmedellin.co/,google_maps,2026-04-29,pendiente
,PABLO VALENCIA VEHICULOS,,310 3569099,,,Medellin,Colombia,autos_alta_gama,empresas,https://www.pablovalenciavehiculos.com/,google_maps,2026-04-29,pendiente
,VEHIMAX,info@vehimax.co,313 7686284,https://instagram.com/vehimax.co,,Medellin,Colombia,autos_alta_gama,empresas,http://www.vehimax.co/,google_maps,2026-04-29,pendiente
,Alemautos Vans Mercedes-Benz,,(604) 4442369,https://www.instagram.com/alemautos/?hl=es,,Medellin,Colombia,autos_alta_gama,empresas,https://alemautos.com.co/,google_maps,2026-04-29,pendiente
